2025-05-17 00:30:18 - [Item]DSConquer[PM] update [1354140]150249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:20 - [Item]DSConquer[PM] update [1354142]500329 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:20 - [Item]DSConquer[PM] update [1354140]150249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:47 - [Item]DSConquer[PM] update [1354143]133109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:47 - [Item]DSConquer[PM] update [1354144]113109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:47 - [Item]DSConquer[PM] update [1354139]120249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:47 - [Item]DSConquer[PM] update [1354141]160249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:49 - [Item]DSConquer[PM] update [1354143]133109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:49 - [Item]DSConquer[PM] update [1354144]113109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:49 - [Item]DSConquer[PM] update [1354139]120249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:49 - [Item]DSConquer[PM] update [1354141]160249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:51 - [Item]DSConquer[PM] update [1354143]133109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:51 - [Item]DSConquer[PM] update [1354144]113109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:51 - [Item]DSConquer[PM] update [1354139]120249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:30:51 - [Item]DSConquer[PM] update [1354141]160249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:31:25 - [Item]DSConquer[PM] update [1354142]500329 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:31:25 - [Item]DSConquer[PM] update [1354140]150249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:14 - [Item]DSConquer[PM] update [1354143]133109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:14 - [Item]DSConquer[PM] update [1354144]113109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:14 - [Item]DSConquer[PM] update [1354139]120249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:14 - [Item]DSConquer[PM] update [1354141]160249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:19 - [Item]DSConquer[PM] update [1354143]133109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:19 - [Item]DSConquer[PM] update [1354144]113109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:19 - [Item]DSConquer[PM] update [1354139]120249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:19 - [Item]DSConquer[PM] update [1354141]160249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:20 - [Item]DSConquer[PM] update [1354143]133109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:20 - [Item]DSConquer[PM] update [1354144]113109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:20 - [Item]DSConquer[PM] update [1354139]120249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:20 - [Item]DSConquer[PM] update [1354141]160249 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-17 00:32:30 - [Item]DSConquer[PM] update [1354143]133109 plus [3] s1[SuperDragonGem]s2[SuperDragonGem]
